tumour_acronym,studyId,studyName,geneSymbol,entrezGeneId,N,mut_n,mut_freq,amp_n,amp_freq,gain_n,gain_freq,shallow_del_n,shallow_del_freq,deep_del_n,deep_del_freq,any_cna_n,any_cna_freq,any_alter_n,any_alter_freq,mut_only_n,cna_only_n,mut_and_cna_n
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",PHF5A,84844,36,0,0.0,1,0.027777777777777776,5,0.1388888888888889,5,0.1388888888888889,0,0.0,11,0.3055555555555556,11,0.3055555555555556,0,11,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",RBM39,9584,36,0,0.0,0,0.0,13,0.3611111111111111,1,0.027777777777777776,0,0.0,14,0.3888888888888889,14,0.3888888888888889,0,14,0
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",HNRNPK,3190,36,1,0.027777777777777776,0,0.0,0,0.0,19,0.5277777777777778,0,0.0,19,0.5277777777777778,19,0.5277777777777778,0,18,1
CHOL,chol_tcga_pan_can_atlas_2018,"Cholangiocarcinoma (TCGA, PanCancer Atlas)",FUBP1,8880,36,0,0.0,0,0.0,9,0.25,5,0.1388888888888889,0,0.0,14,0.3888888888888889,14,0.3888888888888889,0,14,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",SF3B1,23451,532,21,0.039473684210526314,0,0.0,123,0.231203007518797,14,0.02631578947368421,0,0.0,137,0.2575187969924812,157,0.2951127819548872,20,136,1
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",SF3A1,10291,532,7,0.013157894736842105,1,0.0018796992481203006,20,0.03759398496240601,169,0.3176691729323308,1,0.0018796992481203006,191,0.35902255639097747,197,0.37030075187969924,6,190,1
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",U2AF1,7307,532,5,0.009398496240601503,0,0.0,32,0.06015037593984962,176,0.3308270676691729,1,0.0018796992481203006,209,0.39285714285714285,214,0.40225563909774437,5,209,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",U2AF2,11338,532,9,0.016917293233082706,1,0.0018796992481203006,101,0.18984962406015038,59,0.11090225563909774,0,0.0,161,0.3026315789473684,170,0.31954887218045114,9,161,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",SRSF2,6427,532,2,0.0037593984962406013,3,0.005639097744360902,115,0.2161654135338346,67,0.12593984962406016,0,0.0,185,0.34774436090225563,187,0.35150375939849626,2,185,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",ZRSR2,8233,532,4,0.007518796992481203,3,0.005639097744360902,89,0.16729323308270677,79,0.14849624060150377,2,0.0037593984962406013,173,0.325187969924812,177,0.33270676691729323,4,173,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",RBM10,8241,532,18,0.03383458646616541,1,0.0018796992481203006,82,0.15413533834586465,82,0.15413533834586465,2,0.0037593984962406013,167,0.31390977443609025,179,0.33646616541353386,12,161,6
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",PRPF8,10594,532,27,0.05075187969924812,2,0.0037593984962406013,23,0.043233082706766915,296,0.556390977443609,5,0.009398496240601503,326,0.6127819548872181,345,0.6484962406015038,19,318,8
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",LUC7L2,51631,532,0,0.0,1,0.0018796992481203006,266,0.5,7,0.013157894736842105,0,0.0,274,0.5150375939849624,274,0.5150375939849624,0,274,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",DDX3X,1654,532,5,0.009398496240601503,1,0.0018796992481203006,83,0.15601503759398497,83,0.15601503759398497,3,0.005639097744360902,170,0.31954887218045114,174,0.32706766917293234,4,169,1
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",SUGP1,57794,532,8,0.015037593984962405,0,0.0,97,0.18233082706766918,50,0.09398496240601503,3,0.005639097744360902,150,0.2819548872180451,158,0.29699248120300753,8,150,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",PHF5A,84844,532,0,0.0,1,0.0018796992481203006,14,0.02631578947368421,178,0.33458646616541354,0,0.0,193,0.36278195488721804,193,0.36278195488721804,0,193,0
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",RBM39,9584,532,6,0.011278195488721804,39,0.07330827067669173,371,0.6973684210526315,0,0.0,1,0.0018796992481203006,411,0.7725563909774437,416,0.7819548872180451,5,410,1
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",HNRNPK,3190,532,13,0.02443609022556391,1,0.0018796992481203006,88,0.16541353383458646,71,0.13345864661654136,0,0.0,160,0.3007518796992481,171,0.32142857142857145,11,158,2
COADREAD,coadread_tcga_pan_can_atlas_2018,"Colorectal Adenocarcinoma (TCGA, PanCancer Atlas)",FUBP1,8880,532,14,0.02631578947368421,0,0.0,21,0.039473684210526314,161,0.3026315789473684,1,0.0018796992481203006,183,0.34398496240601506,194,0.36466165413533835,11,180,3
